nu_cm1,Cs_cm2_molec_cm1,Cf_cm2_molec_cm1,self_texp
8710.0,1.348000e-27,1.640000e-28,3.231000
8720.0,1.449000e-27,1.790000e-28,3.340000
8730.0,1.620000e-27,1.870000e-28,3.450000
8740.0,1.846000e-27,1.930000e-28,3.547000
8750.0,1.937000e-27,1.930000e-28,3.617000
8760.0,2.040000e-27,1.930000e-28,3.682000
8770.0,2.179000e-27,1.950000e-28,3.683000
8780.0,2.298000e-27,2.070000e-28,3.653000
8790.0,2.433000e-27,2.230000e-28,3.577000
8800.0,2.439000e-27,2.340000e-28,3.558000
8810.0,2.464000e-27,2.440000e-28,3.572000
8820.0,2.611000e-27,2.550000e-28,3.597000
8830.0,2.617000e-27,2.670000e-28,3.648000
8840.0,2.582000e-27,2.760000e-28,3.693000
8850.0,2.453000e-27,2.810000e-28,3.772000
8860.0,2.401000e-27,2.900000e-28,3.801000
8870.0,2.349000e-27,2.940000e-28,3.772000
8880.0,2.203000e-27,2.910000e-28,3.703000
8890.0,2.066000e-27,2.770000e-28,3.597000
8900.0,1.939000e-27,2.520000e-28,3.459000
8910.0,1.780000e-27,2.210000e-28,3.335000
8920.0,1.558000e-27,1.840000e-28,3.189000
8930.0,1.391000e-27,1.490000e-28,3.054000
8940.0,1.203000e-27,1.150000e-28,2.901000
8950.0,1.048000e-27,8.640000e-29,2.756000
8960.0,9.464000e-28,6.440000e-29,2.629000
8970.0,8.306000e-28,4.790000e-29,2.519000
8980.0,7.239000e-28,3.640000e-29,2.415000
8990.0,6.317000e-28,2.750000e-29,2.379000
9000.0,5.520000e-28,2.140000e-29,2.391000
9010.0,4.847000e-28,1.750000e-29,2.433000
9020.0,4.282000e-28,1.480000e-29,2.485000
9030.0,3.796000e-28,1.300000e-29,2.612000
9040.0,3.377000e-28,1.160000e-29,2.787000
9050.0,2.996000e-28,1.054000e-29,2.913000
9060.0,2.678000e-28,9.541000e-30,3.033000
9070.0,2.400000e-28,8.551000e-30,3.110000
9080.0,2.134000e-28,7.602000e-30,3.185000
9090.0,1.904000e-28,6.706000e-30,3.210000
9100.0,1.705000e-28,5.725000e-30,3.254000
